ID,Label,Accepted,Score,Begin Time (s),End Time (s),Call Length (s),Principal Frequency (kHz),Low Freq (kHz),High Freq (kHz),Delta Freq (kHz),Frequency Standard Deviation (kHz),Slope (kHz/s),Sinuosity,Mean Power (dB/Hz),Tonality,Peak Freq (kHz)
1,Downward,TRUE,0.689531505,74.20505489,74.24587889,0.040824,65.56689926,45.62824896,72.46873976,26.8404908,5.178112977,-378.6855541,1.227451758,-77.35871534,0.775592805,67.86751276
2,Upward,TRUE,0.827100813,74.39858018,74.42556818,0.026988,67.52514368,58.18606322,70.3987069,12.21264368,2.914966404,317.8574722,1.435873585,-84.06260839,0.75793197,68.24353448
3,Upward,TRUE,0.708798766,75.1940231,75.2041031,0.01008,79.64071667,63.11179105,87.90517948,24.79338843,8.092382904,2215.549191,2.363094331,-94.58439506,0.549864447,80.67377453
4,2Syllabes,TRUE,0.61711216,80.81160694,80.82427894,0.012672,56.30208333,48.48958333,95.36458333,46.875,18.77522657,-4133.353862,1.339981276,-102.1083652,0.35363288,56.30208333
5,Downward,TRUE,0.84222126,81.04371617,81.06142817,0.017712,59.88636364,47.00757576,60.64393939,13.63636364,3.809860859,-549.9243304,1.234808575,-90.94224465,0.682825171,59.88636364
6,Complex,TRUE,0.875763714,81.95861682,82.00453682,0.04592,69.70486111,66.66666667,71.875,5.208333333,1.694661553,-61.6509245,1.661611835,-90.3760929,0.6899105,71.00694444
7,Complex,TRUE,0.671685219,82.15542225,82.17049425,0.015072,82.89161392,78.14477848,90.01186709,11.86708861,3.114239816,324.0306999,1.412411227,-103.6556646,0.365308426,82.89161392
8,Upward,TRUE,0.750255704,82.51739669,82.53889669,0.0215,63.50290698,52.45639535,65.24709302,12.79069767,3.059589704,-101.4639468,2.907930146,-95.68384188,0.569991468,64.08430233
9,Composite,TRUE,0.659457266,83.12728927,83.14510927,0.01782,87.05040413,47.52834531,96.2415806,48.71323529,21.21170776,1032.753801,3.726066351,-104.6708329,0.269654457,96.2415806
10,Downward,TRUE,0.839378417,131.667486,131.699994,0.032508,58.40939153,44.52050265,61.71626984,17.1957672,5.396226581,-502.8300627,1.200970672,-102.1089649,0.376608229,57.08664021
11,Composite,TRUE,0.636958599,131.9197567,131.9417527,0.021996,59.95233051,48.29978814,90.67266949,42.37288136,17.43105263,1986.590012,1.794309338,-103.3752659,0.296447628,90.67266949
12,2Syllabes,TRUE,0.745634437,132.1450493,132.1710333,0.025984,85.5982906,48.20512821,95.21367521,47.00854701,18.71701568,-1941.812164,2.042523534,-98.13983924,0.422300039,95.21367521
13,2Syllabes,TRUE,0.693498969,132.6169269,132.6415269,0.0246,57.68145161,51.63306452,92.96370968,41.33064516,16.29913562,-1848.841425,1.525294288,-98.93284566,0.418033404,57.68145161
14,2Syllabes,TRUE,0.741642475,132.8514233,132.8779193,0.026496,60.58876812,53.3423913,96.82065217,43.47826087,15.52150146,-1602.257554,1.57970007,-97.98056769,0.388150896,61.49456522
15,Downward,TRUE,0.78272742,133.4532363,133.4755083,0.022272,57.94642857,46.51785714,60.08928571,13.57142857,4.10125684,-472.6616352,1.273483391,-97.53266068,0.515540396,55.08928571
16,Downward,TRUE,0.671758294,133.8859338,133.9279018,0.041968,64.05709612,58.69995326,68.9040349,10.20408163,2.064318432,-116.2773711,1.513965283,-90.08131968,0.600150388,63.29179
17,Downward,TRUE,1,133.935666,133.957402,0.021736,56.07960742,45.9605598,57.27008361,11.30952381,4.080499415,-361.2198161,1.895538402,-92.35343012,0.631723332,56.67484551
18,2Syllabes,TRUE,0.792669177,134.0872718,134.1595118,0.07224,64.28341349,42.60711292,88.12734413,45.52023121,6.969998536,-258.5295148,2.378028228,-85.37003669,0.631323332,65.7285002
19,Composite,TRUE,0.543067217,134.2640105,134.3402985,0.076288,63.3189237,40.98822928,70.90118914,29.91295986,8.271227023,-223.7720002,1.410566927,-72.77017298,0.760598088,66.94545684
20,Composite,TRUE,0.72789216,134.4666496,134.5238896,0.05724,65.34926471,40.53308824,90.16544118,49.63235294,7.708995536,-301.3529457,1.616466246,-82.41638671,0.662233834,57.99632353
21,Composite,TRUE,0.616276026,134.6667211,134.7260011,0.05928,66.68269231,50.33653846,104.1826923,53.84615385,9.472788213,-24.99431536,3.421456261,-80.80301788,0.711667211,67.64423077
22,Composite,TRUE,0.775500894,134.8661501,134.9220301,0.05588,58.15452756,49.29625984,105.398622,56.1023622,11.81779336,115.7418736,2.823996864,-90.66762714,0.531670159,66.02854331
23,Composite,TRUE,0.611763477,135.0399477,135.1004277,0.06048,57.02546296,44.98842593,86.65509259,41.66666667,8.083155405,-231.9903285,1.670615101,-87.62381834,0.574891181,57.02546296
24,Composite,TRUE,0.723419011,135.2081425,135.2729425,0.0648,58.78615702,41.56852617,70.14979339,28.58126722,8.645040156,-453.0361693,1.054686769,-74.62572089,0.751216439,58.78615702
25,Harmonic,TRUE,0.629201412,135.4049916,135.4498316,0.04484,65.64338235,55.13918067,67.74422269,12.60504202,4.888251929,-322.1673635,1.129596268,-69.80905996,0.828622512,65.64338235
26,Composite,TRUE,0.805967927,135.588049,135.649209,0.06116,57.5,53.92857143,112.8571429,58.92857143,12.80378388,278.0237075,3.132732041,-91.78407997,0.523267877,56.60714286
27,Composite,TRUE,0.646166146,135.7847999,135.8323199,0.04752,56.57659774,54.6968985,104.5089286,49.81203008,8.135289383,-1.299106958,2.539920213,-82.13129895,0.711037245,58.45629699
28,Composite,TRUE,0.674933136,135.9673133,136.0140493,0.046736,55.54625984,52.59350394,100.8218504,48.22834646,8.648226191,48.73969045,2.327870777,-89.50107106,0.589054504,55.54625984
29,Composite,TRUE,0.576261282,136.1568768,136.1833968,0.02652,56.3440534,51.48968447,117.023665,65.53398058,13.23404668,371.4931272,3.166703794,-85.57995695,0.707163841,56.3440534
30,Composite,TRUE,0.686248183,136.335702,136.362542,0.02684,53.38400901,48.8795045,104.0596847,55.18018018,15.12334118,-963.0132581,1.876443874,-87.51051027,0.634398318,54.51013514
31,Composite,TRUE,0.850271106,136.6756963,136.7096323,0.033936,57.68995098,56.46446078,101.807598,45.34313725,6.448253485,-217.5600367,1.804329004,-84.52314298,0.721999259,58.91544118
32,Composite,TRUE,0.715970635,136.8208517,136.8703557,0.049504,60.56113139,51.4370438,102.5319343,51.09489051,11.78782442,-144.0099386,2.013380576,-84.60117484,0.653039539,66.03558394
33,Composite,TRUE,0.635672927,137.0113444,137.0378644,0.02652,65.82720588,59.20955882,71.70955882,12.5,3.430648625,-58.12321066,1.643193457,-75.11521405,0.750178294,65.09191176
34,Composite,TRUE,0.651024699,137.1842585,137.2211105,0.036852,51.00788288,45.37725225,91.54842342,46.17117117,18.91265759,-478.6318762,2.40834926,-97.53700271,0.443217722,52.13400901
35,Composite,TRUE,0.602939725,137.67671,137.732198,0.055488,63.32720588,44.94485294,71.59926471,26.65441176,9.722429586,-485.6086766,1.299309915,-93.58679046,0.471006612,67.00367647
36,Frequency_Step,TRUE,0.676015973,137.8438243,137.9147483,0.070924,67.50636132,45.00636132,99.17302799,54.16666667,12.08867046,251.8532114,4.000317628,-92.69161604,0.48822242,69.17302799
37,Downward,TRUE,0.815468311,138.1483983,138.1747143,0.026316,91.22970779,74.18425325,96.09983766,21.91558442,6.039710285,-592.6703865,1.410558589,-97.72945558,0.462827061,87.17126623
38,2Syllabes,TRUE,0.63102293,138.342967,138.387991,0.045024,66.12610947,53.55214497,89.05510355,35.50295858,9.321365328,460.776497,2.326905033,-95.51569029,0.529581488,65.3864645
39,Downward,TRUE,0.799346209,138.5461559,138.5859439,0.039788,62.4754902,49.30147059,66.45833333,17.15686275,5.889174633,-449.3249053,1.331725867,-95.28162227,0.538154904,65.84558824
40,2Syllabes,TRUE,0.791464925,138.9706685,139.0184045,0.047736,66.22970779,49.18425325,87.3336039,38.14935065,8.199123805,-2.033986118,1.710997914,-96.20433473,0.457544542,67.0413961
41,Downward,TRUE,0.792534769,139.1342379,139.1831179,0.04888,66.64351852,48.78637566,75.90277778,27.11640212,7.147283785,-446.7055104,1.846635352,-97.31106187,0.460056512,70.61177249
42,2Syllabes,TRUE,0.776833594,139.3220866,139.3784866,0.0564,67.61739418,49.09887566,80.84490741,31.74603175,6.464261181,-267.6700155,2.951002142,-90.65044113,0.567081564,72.24702381
43,Complex,TRUE,0.744573236,139.5385137,139.5712497,0.032736,66.2751004,62.00803213,69.03614458,7.02811245,1.945308186,-110.2576847,1.420460745,-88.33336128,0.708932386,65.52208835
44,Downward,TRUE,0.812866688,139.720637,139.757537,0.0369,83.82743363,73.31858407,86.59292035,13.27433628,3.944369145,-284.3444922,1.902568473,-94.30668701,0.553035124,84.93362832
45,Complex,TRUE,0.772964835,140.738467,140.768659,0.030192,69.2264574,65.30269058,71.46860987,6.165919283,2.4261948,-220.1371398,1.26253541,-87.96851686,0.713708438,70.34753363
46,2Syllabes,TRUE,0.679160297,140.8881439,140.9337719,0.045628,67.3537234,60.70478723,90.625,29.92021277,6.421507866,-145.5985205,3.569631703,-88.24102504,0.64438387,70.67819149
47,2Syllabes,TRUE,0.850334883,141.0628698,141.1128938,0.050024,70,61.17647059,99.41176471,38.23529412,8.223800083,-102.1181659,2.802709542,-88.4050396,0.58934369,72.94117647
48,2Syllabes,TRUE,0.508455932,141.255314,141.287314,0.032,67.9697205,47.78338509,86.60326087,38.81987578,7.180485785,19.10254068,3.180755493,-91.17504989,0.564389965,70.29891304
49,Composite,TRUE,0.720044374,141.4464755,141.4922355,0.04576,69.35763889,62.84722222,108.8541667,46.00694444,9.165684922,-135.9195536,2.337548789,-84.63656865,0.636779712,71.52777778
50,Complex,TRUE,0.714785337,141.6359387,141.6776867,0.041748,66.86623832,60.73306075,74.16764019,13.43457944,3.53968883,-214.8954126,1.588744303,-83.49046594,0.735401197,70.66296729
51,2Syllabes,TRUE,0.82447648,141.8170285,141.8644565,0.047428,69.36011905,64.15178571,101.3541667,37.20238095,7.736834135,-41.46014163,2.369144374,-84.11573566,0.679562666,73.08035714
52,Composite,TRUE,0.846404791,142.001191,142.043535,0.042344,68.39552239,62.79850746,78.65671642,15.85820896,3.358778809,-209.1008565,1.310943306,-75.85357325,0.794118657,73.05970149
53,Complex,TRUE,0.813467205,142.1951146,142.2255226,0.030408,62.3592033,49.99656593,66.48008242,16.48351648,5.456295575,-301.9823003,1.904910204,-90.05181221,0.68401491,65.10645604
54,Upward,TRUE,1,142.3640334,142.3729734,0.00894,106.8575064,101.024173,116.024173,15,5.7130455,319.1566968,3.4096321,-111.9558524,0.222709093,106.8575064
55,Complex,TRUE,0.811671376,142.5385288,142.5758248,0.037296,70.57188735,64.39599802,72.79520751,8.399209486,2.772435188,-155.5350526,1.566787383,-74.35730462,0.817361619,72.30113636
56,Upward,TRUE,0.622583568,142.8958772,142.9010972,0.00522,97.26455479,89.13099315,100.2611301,11.13013699,3.726473989,1798.213596,1.397674829,-101.6270642,0.485544924,96.8364726
57,Downward,TRUE,0.744237721,143.0552933,143.0972933,0.042,68.28869048,53.4077381,71.26488095,17.85714286,4.189712179,-267.9276839,1.329899312,-79.02665737,0.801130968,67.69345238
58,Chevron,TRUE,0.751444757,143.2865323,143.2979323,0.0114,94.92549669,86.23344371,97.82284768,11.58940397,3.645897653,494.8214908,1.696480942,-95.52286972,0.558618179,94.5115894
59,Complex,TRUE,0.649971604,143.4461626,143.4659626,0.0198,60.05681818,58.79419192,62.58207071,3.787878788,1.20802695,134.0784169,1.191788979,-98.55540617,0.531341133,61.95075758
60,Upward,TRUE,0.670334458,147.3690182,147.3912182,0.0222,69.98310811,63.90202703,74.71283784,10.81081081,2.897139896,377.7480619,1.534591488,-85.28313724,0.748228554,74.03716216
61,Complex,TRUE,0.784205198,147.5372173,147.5699253,0.032708,70.63344595,65.56587838,76.82713964,11.26126126,3.267358978,13.38157785,2.232553718,-79.56221004,0.757065289,75.13795045
62,2Syllabes,TRUE,0.760311723,147.707705,147.770729,0.063024,67.12181529,47.21735669,96.58041401,49.36305732,14.25566317,214.2533821,4.261377848,-84.70864384,0.666344054,64.73328025
63,Composite,TRUE,0.626134634,147.8911922,147.9636922,0.0725,64.20258621,44.49555819,71.09913793,26.60357974,6.192358595,-265.3726606,1.042783844,-82.18578404,0.667395268,65.92672414
64,Composite,TRUE,0.645742416,148.063238,148.126286,0.063048,68.42001748,55.30812937,96.39204545,41.08391608,11.82510217,384.3793794,1.702785885,-84.32063673,0.591522142,68.42001748
65,Composite,TRUE,0.68517077,148.2518566,148.3090966,0.05724,65.29411765,59.31985294,92.40808824,33.08823529,5.642954991,-36.44722403,1.52939874,-82.86922685,0.678076247,65.75367647
66,Complex,TRUE,0.559769332,148.427694,148.473934,0.04624,67.42538927,65.69528547,71.31812284,5.62283737,1.840204497,-115.8975353,1.265192498,-80.41718783,0.740630869,70.02054498
67,Harmonic,TRUE,0.665413022,148.6045145,148.6728425,0.068328,65.30612245,52.55102041,84.86394558,32.31292517,5.954729897,-109.4665737,2.473900689,-83.57918719,0.62588054,59.3537415
